Well,Cycle,FAM
A1,1,7222.342773
A2,1,10941.31348
A3,1,
A4,1,-4396.283203
A5,1,-4211.550781
A6,1,-3911.412598
A7,1,-3549.668945
A8,1,-4182.597656
A9,1,-4697.825195
A10,1,-3657.160645
A11,1,-4482.598145
A12,1,-4329.382324
B1,1,10452.38965
B2,1,-4078.483887
B3,1,
B4,1,13758.55664
B5,1,14444.75781
B6,1,17726.82813
B7,1,-3949.633789
B8,1,-3781.971924
B9,1,-2170.703369
B10,1,-4659.253418
B11,1,-4455.628906
B12,1,-4362.496094
C1,1,10481.28418
C2,1,-3924.199951
C3,1,
C4,1,16619.08594
C5,1,17131.91992
C6,1,17734.49805
C7,1,-3555.455566
C8,1,-3961.401367
C9,1,-4299.74707
C10,1,-4098.865234
C11,1,-3736.745117
C12,1,-3905.421875
D1,1,11781.28906
D2,1,-3437.642578
D3,1,
D4,1,-4170.348633
D5,1,-3648.507324
D6,1,-4253.404297
D7,1,-2266.50708
D8,1,-4144.885742
D9,1,-2423.109863
D10,1,-4668.013184
D11,1,-4207.352539
D12,1,-4029.490234
E1,1,11420.10254
E2,1,-4497.993652
E3,1,
E4,1,-4124.990723
E5,1,-4112.98291
E6,1,-4092.133301
E7,1,-3623.088867
E8,1,-3657.136719
E9,1,-2320.41748
E10,1,-3927.075195
E11,1,-4248.75
E12,1,-3980.379395
F1,1,11452.21484
F2,1,
F3,1,
F4,1,-4273.634766
F5,1,-3708.45459
F6,1,-4155.157227
F7,1,-4106.966309
F8,1,-1948.059326
F9,1,-1553.676025
F10,1,
F11,1,
F12,1,
G1,1,-4533.928223
G2,1,
G3,1,
G4,1,-3524.25293
G5,1,-5132.700195
G6,1,-4549.507813
G7,1,-4800.950195
G8,1,-4102.928711
G9,1,-4499.429199
G10,1,
G11,1,
G12,1,
H1,1,-2451.780273
H2,1,-4701.882324
H3,1,
H4,1,-4578.802246
H5,1,-4349.175781
H6,1,-4780.22168
H7,1,-4431.836914
H8,1,-4648.308594
H9,1,-4305.367188
H10,1,-4460.688477
H11,1,-3606.499268
H12,1,-4192.544922
A1,2,8245.959961
A2,2,11735.21777
A3,2,
A4,2,-4409.524414
A5,2,-4211.405273
A6,2,-3898.878906
A7,2,-3571.736084
A8,2,-4164.842285
A9,2,-4702.019531
A10,2,-3658.823242
A11,2,-4486.527832
A12,2,-4334.104492
B1,2,11512.30273
B2,2,-4048.505859
B3,2,
B4,2,14854.04395
B5,2,15616.40625
B6,2,18799.5625
B7,2,-3949.50415
B8,2,-3714.684082
B9,2,-1881.600708
B10,2,-4682.757813
B11,2,-4441.918457
B12,2,-4319.369141
C1,2,11452.86816
C2,2,-3939.920654
C3,2,
C4,2,17244.64258
C5,2,18425.125
C6,2,18731.94531
C7,2,-3438.522705
C8,2,-3971.998047
C9,2,-4254.19043
C10,2,-4098.756836
C11,2,-3719.11084
C12,2,-3908.066162
D1,2,12665.79492
D2,2,-3458.871338
D3,2,
D4,2,-4188.003906
D5,2,-3642.354492
D6,2,-4254.045898
D7,2,-1981.956665
D8,2,-4121.481445
D9,2,-2097.413818
D10,2,-4686.724121
D11,2,-4212.124023
D12,2,-4034.926758
E1,2,12355.14746
E2,2,-4508.977539
E3,2,
E4,2,-4142.319824
E5,2,-4103.53125
E6,2,-4113.624023
E7,2,-3575.223389
E8,2,-3606.866455
E9,2,-2078.721191
E10,2,-3965.233154
E11,2,-4265.198242
E12,2,-3984.16626
F1,2,12247.61133
F2,2,
F3,2,
F4,2,-4273.744141
F5,2,-3708.587402
F6,2,-4170.820801
F7,2,-4070.81665
F8,2,-1571.747803
F9,2,-1206.685547
F10,2,
F11,2,
F12,2,
G1,2,-4528.672852
G2,2,
G3,2,
G4,2,-3532.913574
G5,2,-5130.398438
G6,2,-4572.23291
G7,2,-4813.491211
G8,2,-4103.722656
G9,2,-4490.638672
G10,2,
G11,2,
G12,2,
H1,2,-2426.354004
H2,2,-4731.774414
H3,2,
H4,2,-4584.940918
H5,2,-4358.107422
H6,2,-4779.614746
H7,2,-4414.919922
H8,2,-4661.986328
H9,2,-4318.762207
H10,2,-4468.957031
H11,2,-3616.462402
H12,2,-4224.551758
A1,3,8847.916016
A2,3,12515.62988
A3,3,
A4,3,-4415.665039
A5,3,-4212.254883
A6,3,-3914.335449
A7,3,-3560.338867
A8,3,-4177.199707
A9,3,-4691.728516
A10,3,-3640.958496
A11,3,-4488.303223
A12,3,-4334.910156
B1,3,12252.65918
B2,3,-4047.590332
B3,3,
B4,3,15755.42969
B5,3,16702.08594
B6,3,19759.76953
B7,3,-3865.989746
B8,3,-3631.158691
B9,3,-1529.071045
B10,3,-4691.767578
B11,3,-4444.710938
B12,3,-4324.48877
C1,3,12306.88184
C2,3,-3934.189941
C3,3,
C4,3,17890.74219
C5,3,19354.16211
C6,3,19604.89258
C7,3,-3333.32666
C8,3,-3931.293213
C9,3,-4232.751953
C10,3,-4115.733398
C11,3,-3731.030762
C12,3,-3900.412842
D1,3,13443.64746
D2,3,-3457.771973
D3,3,
D4,3,-4191.449219
D5,3,-3616.928711
D6,3,-4250.783691
D7,3,-1727.851685
D8,3,-4080.256348
D9,3,-1797.756592
D10,3,-4697.041016
D11,3,-4213.336914
D12,3,-4040.412598
E1,3,13173.50195
E2,3,-4517.618164
E3,3,
E4,3,-4122.298828
E5,3,-4085.257324
E6,3,-4113.620117
E7,3,-3476.487793
E8,3,-3524.043457
E9,3,-1838.124023
E10,3,-3959.775391
E11,3,-4258.149414
E12,3,-3977.588867
F1,3,13030.0127
F2,3,
F3,3,
F4,3,-4264.276367
F5,3,-3716.297363
F6,3,-4181.782227
F7,3,-4007.778809
F8,3,-1163.327881
F9,3,-839.4424438
F10,3,
F11,3,
F12,3,
G1,3,-4508.696289
G2,3,
G3,3,
G4,3,-3539.467285
G5,3,-5120.777344
G6,3,-4547.880371
G7,3,-4798.073242
G8,3,-4101.827148
G9,3,-4478.548828
G10,3,
G11,3,
G12,3,
H1,3,-2431.820801
H2,3,-4722.367188
H3,3,
H4,3,-4587.349609
H5,3,-4338.955078
H6,3,-4787.92627
H7,3,-4402.982422
H8,3,-4658.960938
H9,3,-4326.075684
H10,3,-4479.121094
H11,3,-3622.262207
H12,3,-4210.008789
A1,4,9364.804688
A2,4,13224.25879
A3,4,
A4,4,-4399.120605
A5,4,-4206.859863
A6,4,-3917.217773
A7,4,-3542.086182
A8,4,-4160.180176
A9,4,-4673.551758
A10,4,-3631.771484
A11,4,-4493.333008
A12,4,-4356.932617
B1,4,12975.53125
B2,4,-4032.033447
B3,4,
B4,4,16444.24023
B5,4,17719.17383
B6,4,20575.53125
B7,4,-3817.37085
B8,4,-3515.942871
B9,4,-1212.380615
B10,4,-4711.949707
B11,4,-4443.616699
B12,4,-4317.418457
C1,4,13132.97852
C2,4,-3945.763184
C3,4,
C4,4,18504.58984
C5,4,20183.07227
C6,4,20293.89258
C7,4,-3212.964844
C8,4,-3905.718018
C9,4,-4186.958496
C10,4,-4136.568359
C11,4,-3746.124023
C12,4,-3889.107422
D1,4,14123.16309
D2,4,-3459.72168
D3,4,
D4,4,-4181.360352
D5,4,-3636.019531
D6,4,-4253.537109
D7,4,-1403.807007
D8,4,-4007.42627
D9,4,-1517.118652
D10,4,-4714.400879
D11,4,-4227.817383
D12,4,-4037.080811
E1,4,13846.10938
E2,4,-4522.759766
E3,4,
E4,4,-4123.500488
E5,4,-4071.665527
E6,4,-4095.126709
E7,4,-3375.547852
E8,4,-3441.836182
E9,4,-1622.939697
E10,4,-3991.071289
E11,4,-4291.044922
E12,4,-3979.154785
F1,4,13691.79883
F2,4,
F3,4,
F4,4,-4279.137695
F5,4,-3698.598145
F6,4,-4163.720703
F7,4,-3948.198486
F8,4,-730.3106689
F9,4,-482.5525513
F10,4,
F11,4,
F12,4,
G1,4,-4497.375
G2,4,
G3,4,
G4,4,-3533.213867
G5,4,-5115.718262
G6,4,-4536.780762
G7,4,-4807.025391
G8,4,-4114.15625
G9,4,-4470.976074
G10,4,
G11,4,
G12,4,
H1,4,-2398.403809
H2,4,-4727.057617
H3,4,
H4,4,-4570.878906
H5,4,-4342.417969
H6,4,-4774.366699
H7,4,-4421.881836
H8,4,-4636.978027
H9,4,-4306.595215
H10,4,-4469.030273
H11,4,-3612.00708
H12,4,-4211.293945
A1,5,9757.615234
A2,5,13876.73438
A3,5,
A4,5,-4384.528809
A5,5,-4199.643066
A6,5,-3905.505127
A7,5,-3550.878662
A8,5,-4168.008789
A9,5,-4676.998535
A10,5,-3633.944092
A11,5,-4487.394043
A12,5,-4372.378906
B1,5,13656.42969
B2,5,-4028.233643
B3,5,
B4,5,17082.70117
B5,5,18577.64844
B6,5,21251.17383
B7,5,-3755.934082
B8,5,-3417.787598
B9,5,-893.7875366
B10,5,-4718.373047
B11,5,-4455.93457
B12,5,-4311.458984
C1,5,13815.39355
C2,5,-3937.104492
C3,5,
C4,5,18836.01172
C5,5,20801.45508
C6,5,20939.03516
C7,5,-3096.591064
C8,5,-3851.228271
C9,5,-4137.438965
C10,5,-4126.724121
C11,5,-3746.142334
C12,5,-3903.537598
D1,5,14769.49609
D2,5,-3473.318604
D3,5,
D4,5,-4164.424805
D5,5,-3631.049805
D6,5,-4249.739258
D7,5,-1084.106689
D8,5,-3958.651611
D9,5,-1201.421509
D10,5,-4714.240234
D11,5,-4215.814453
D12,5,-4019.602783
E1,5,14590.82617
E2,5,-4523.746582
E3,5,
E4,5,-4106.226563
E5,5,-4076.283203
E6,5,-4106.271484
E7,5,-3305.26123
E8,5,-3366.054199
E9,5,-1366.427124
E10,5,-3985.610107
E11,5,-4276.820313
E12,5,-3995.474609
F1,5,14375.06738
F2,5,
F3,5,
F4,5,-4276.247559
F5,5,-3683.429443
F6,5,-4165.93457
F7,5,-3897.869141
F8,5,-336.6479797
F9,5,-95.37060547
F10,5,
F11,5,
F12,5,
G1,5,-4484.839844
G2,5,
G3,5,
G4,5,-3541.21875
G5,5,-5105.049805
G6,5,-4513.342773
G7,5,-4807.556152
G8,5,-4099.502441
G9,5,-4457.566406
G10,5,
G11,5,
G12,5,
H1,5,-2392.688477
H2,5,-4711.948242
H3,5,
H4,5,-4568.38623
H5,5,-4346.513672
H6,5,-4773.759766
H7,5,-4403.838867
H8,5,-4642.511719
H9,5,-4307.190918
H10,5,-4465.001465
H11,5,-3604.911133
H12,5,-4186.155273
A1,6,10077.44727
A2,6,14446.89746
A3,6,
A4,6,-4373.291016
A5,6,-4195.194336
A6,6,-3889.9646
A7,6,-3542.52002
A8,6,-4155.392578
A9,6,-4663.8125
A10,6,-3618.046387
A11,6,-4480.258789
A12,6,-4365.973145
B1,6,14204.13477
B2,6,-4014.868652
B3,6,
B4,6,17612.01563
B5,6,19337.98828
B6,6,21737.05664
B7,6,-3704.908936
B8,6,-3290.099121
B9,6,-578.0361328
B10,6,-4706.096191
B11,6,-4466.834473
B12,6,-4304.898438
C1,6,14405.70117
C2,6,-3940.217285
C3,6,
C4,6,19131.55078
C5,6,21403.26172
C6,6,21475.61328
C7,6,-2977.549805
C8,6,-3836.067871
C9,6,-4087.880615
C10,6,-4126.099121
C11,6,-3730.191406
C12,6,-3902.262695
D1,6,15331.90918
D2,6,-3448.539795
D3,6,
D4,6,-4163.580078
D5,6,-3622.477539
D6,6,-4232.830566
D7,6,-817.1532593
D8,6,-3907.479492
D9,6,-886.0357666
D10,6,-4711.973633
D11,6,-4215.289551
D12,6,-4017.981934
E1,6,15186.75977
E2,6,-4501.901367
E3,6,
E4,6,-4095.186279
E5,6,-4067.84082
E6,6,-4055.70874
E7,6,-3190.850586
E8,6,-3283.763184
E9,6,-1115.168457
E10,6,-3977.510254
E11,6,-4253.18457
E12,6,-3995.331055
F1,6,14965.44141
F2,6,
F3,6,
F4,6,-4285.391602
F5,6,-3681.055664
F6,6,-4148.259766
F7,6,-3835.663574
F8,6,68.69790649
F9,6,284.9282227
F10,6,
F11,6,
F12,6,
G1,6,-4469.625
G2,6,
G3,6,
G4,6,-3526.892578
G5,6,-5094.043945
G6,6,-4527.924805
G7,6,-4805.555176
G8,6,-4094.637451
G9,6,-4438.342773
G10,6,
G11,6,
G12,6,
H1,6,-2390.674805
H2,6,-4716.696289
H3,6,
H4,6,-4549.876953
H5,6,-4325.327148
H6,6,-4761.019531
H7,6,-4403.954102
H8,6,-4653.768555
H9,6,-4302.689453
H10,6,-4459.914551
H11,6,-3586.967773
H12,6,-4207.934082
A1,7,10400.3877
A2,7,14948.13867
A3,7,
A4,7,-4388.642578
A5,7,-4186.847168
A6,7,-3890.813965
A7,7,-3530.62207
A8,7,-4136.152344
A9,7,-4650.296875
A10,7,-3631.730713
A11,7,-4493.938477
A12,7,-4364.350098
B1,7,14810.50293
B2,7,-4007.318359
B3,7,
B4,7,18042.4668
B5,7,19999.88672
B6,7,22171.91992
B7,7,-3615.519531
B8,7,-3195.274902
B9,7,-227.9025879
B10,7,-4713.8125
B11,7,-4463.126953
B12,7,-4324.614258
C1,7,15078.69336
C2,7,-3929.973877
C3,7,
C4,7,19430.73242
C5,7,21829.79297
C6,7,21829.10742
C7,7,-2900.224121
C8,7,-3776.466797
C9,7,-4053.77124
C10,7,-4114.777344
C11,7,-3754.170898
C12,7,-3883.756104
D1,7,15813.2627
D2,7,-3447.322998
D3,7,
D4,7,-4144.279297
D5,7,-3620.807129
D6,7,-4237.23584
D7,7,-564.5613403
D8,7,-3847.02124
D9,7,-603.4446411
D10,7,-4719.102051
D11,7,-4222.554199
D12,7,-4023.037109
E1,7,15740.19531
E2,7,-4509.392578
E3,7,
E4,7,-4086.268066
E5,7,-4070.58252
E6,7,-4064.058594
E7,7,-3079.536865
E8,7,-3217.159912
E9,7,-905.5987549
E10,7,-3979.786621
E11,7,-4238.501953
E12,7,-3977.773926
F1,7,15457.01953
F2,7,
F3,7,
F4,7,-4270.509766
F5,7,-3681.466309
F6,7,-4140.51416
F7,7,-3760.296387
F8,7,484.2013855
F9,7,594.5510254
F10,7,
F11,7,
F12,7,
G1,7,-4457.795898
G2,7,
G3,7,
G4,7,-3525.13623
G5,7,-5093.805664
G6,7,-4502.158691
G7,7,-4839.15332
G8,7,-4107.336914
G9,7,-4408.780273
G10,7,
