Well,Cycle,FAM
A1,1,1918.662598
A2,1,2938.568115
A3,1,891.3236694
A4,1,744.444519
A5,1,673.0581055
A6,1,612.8990479
A7,1,516.0592041
A8,1,114.0544434
A9,1,-1096.275513
A10,1,-3112.748535
A11,1,-3685.850098
A12,1,-3383.235596
B1,1,-828.7652588
B2,1,-371.7029419
B3,1,-160.1893921
B4,1,697.9680176
B5,1,336.1849976
B6,1,979.0384521
B7,1,-2986.311523
B8,1,-1785.861816
B9,1,-2921.755371
B10,1,-4094.641602
B11,1,-3541.373535
B12,1,-3471.50415
C1,1,-3558.72876
C2,1,58.56384277
C3,1,-627.2944336
C4,1,-45.42242432
C5,1,-224.2654877
C6,1,607.0597534
C7,1,-3349.786133
C8,1,-3042.630127
C9,1,-3745.98291
C10,1,-3666.608887
C11,1,-3454.190186
C12,1,-3207.755371
D1,1,-1996.933105
D2,1,-1251.043701
D3,1,-2188.231201
D4,1,-1459.199463
D5,1,-2425.13501
D6,1,-1329.654297
D7,1,-2721.621826
D8,1,-2813.589844
D9,1,-3529.797363
D10,1,
D11,1,
D12,1,
E1,1,-3446.778809
E2,1,-3784.416016
E3,1,-3384.17627
E4,1,-3625.555664
E5,1,-3036.674561
E6,1,-2994.620117
E7,1,-3338.73584
E8,1,-3279.894531
E9,1,-3261.946289
E10,1,
E11,1,
E12,1,
F1,1,-3530.381348
F2,1,-2933.072266
F3,1,-3252.221436
F4,1,-4010.505127
F5,1,-3335.518066
F6,1,-3387.276367
F7,1,-3554.724121
F8,1,-3981.407715
F9,1,-3449.733643
F10,1,
F11,1,
F12,1,-3551.545654
G1,1,-3676.183105
G2,1,-3821.709229
G3,1,-3775.872559
G4,1,-3052.274414
G5,1,-4268.583008
G6,1,-4126.515625
G7,1,-3943.537598
G8,1,-3485.499023
G9,1,-4083.69751
G10,1,
G11,1,
G12,1,-3254.953125
H1,1,-1550.654175
H2,1,-3905.613525
H3,1,-3475.12085
H4,1,-4157.124512
H5,1,-3808.800293
H6,1,-4201.919434
H7,1,-3864.024658
H8,1,-4295.22168
H9,1,-3824.225342
H10,1,
H11,1,
H12,1,-3388.455566
A1,2,5653.948242
A2,2,6125.607422
A3,2,4162.091797
A4,2,4143.936523
A5,2,3980.782715
A6,2,3460.97168
A7,2,3022.891846
A8,2,3249.132813
A9,2,1308.850464
A10,2,-3160.786133
A11,2,-3692.288086
A12,2,-3422.898438
B1,2,1520.500854
B2,2,1886.012817
B3,2,2604.793457
B4,2,3931.304932
B5,2,3024.584229
B6,2,4733.521484
B7,2,-2315.387207
B8,2,-183.1207886
B9,2,-2259.891357
B10,2,-4124.26416
B11,2,-3565.929688
B12,2,-3495.269531
C1,2,-3492.541016
C2,2,2186.097656
C3,2,1332.038086
C4,2,2283.155029
C5,2,2358.993164
C6,2,4134.097656
