Well,Cycle,FAM
A1,1,24056.71094
A2,1,21551.14063
A3,1,23252.5293
A4,1,
A5,1,-1682.281738
A6,1,
A7,1,
A8,1,
A9,1,
A10,1,
A11,1,
A12,1,-1227.713135
B1,1,24487.19531
B2,1,14445.40039
B3,1,12308.15332
B4,1,
B5,1,-1408.38501
B6,1,
B7,1,
B8,1,
B9,1,
B10,1,
B11,1,
B12,1,-1613.828369
C1,1,20912.875
C2,1,12702.03516
C3,1,9938.748047
C4,1,
C5,1,-1186.289673
C6,1,
C7,1,
C8,1,
C9,1,
C10,1,
C11,1,
C12,1,-1474.932129
D1,1,6010.255371
D2,1,5076.112305
D3,1,1928.342163
D4,1,
D5,1,
D6,1,
D7,1,
D8,1,
D9,1,
D10,1,
D11,1,
D12,1,
E1,1,2090.703125
E2,1,1886.553589
E3,1,-1050.40686
E4,1,
E5,1,
E6,1,
E7,1,
E8,1,
E9,1,
E10,1,
E11,1,
E12,1,
F1,1,-74.17245483
F2,1,-515.0559692
F3,1,-1302.19165
F4,1,
F5,1,
F6,1,
F7,1,
F8,1,
F9,1,
F10,1,
F11,1,
F12,1,
G1,1,-1112.481812
G2,1,-1638.911865
G3,1,-1965.723022
G4,1,
G5,1,
G6,1,
G7,1,
G8,1,
G9,1,
G10,1,
G11,1,
G12,1,
H1,1,304.3319092
H2,1,-1661.74353
H3,1,-1528.02356
H4,1,
H5,1,
H6,1,
H7,1,
H8,1,
H9,1,
H10,1,
H11,1,
H12,1,
A1,2,38541.17969
A2,2,35528.21484
A3,2,37679.40625
A4,2,
A5,2,-1705.475342
A6,2,
A7,2,
A8,2,
A9,2,
A10,2,
A11,2,
A12,2,-1234.378418
B1,2,38783.75781
B2,2,26090.11328
B3,2,22611.81836
B4,2,
B5,2,-1390.672607
B6,2,
B7,2,
B8,2,
B9,2,
B10,2,
B11,2,
B12,2,-1601.798584
C1,2,32995.04688
C2,2,22589.99805
C3,2,18428.71484
C4,2,
C5,2,-1215.503174
C6,2,
C7,2,
C8,2,
C9,2,
C10,2,
C11,2,
C12,2,-1500.677734
D1,2,10479.4668
D2,2,9661.519531
D3,2,4523.385742
D4,2,
D5,2,
D6,2,
D7,2,
D8,2,
D9,2,
D10,2,
D11,2,
D12,2,
E1,2,4543.680176
E2,2,4997.93457
E3,2,-545.8028564
E4,2,
E5,2,
E6,2,
E7,2,
E8,2,
E9,2,
E10,2,
E11,2,
E12,2,
F1,2,977.4128418
F2,2,-406.2630005
F3,2,-1350.878784
F4,2,
F5,2,
F6,2,
F7,2,
F8,2,
F9,2,
F10,2,
F11,2,
F12,2,
G1,2,-1065.584961
G2,2,-1664.399658
G3,2,-2038.130493
G4,2,
G5,2,
G6,2,
G7,2,
G8,2,
G9,2,
G10,2,
G11,2,
G12,2,
H1,2,380.9683228
H2,2,-1614.564941
H3,2,-1543.11084
H4,2,
H5,2,
H6,2,
H7,2,
H8,2,
H9,2,
H10,2,
H11,2,
H12,2,
A1,3,50238.11719
A2,3,47174.88281
A3,3,49054.76953
A4,3,
A5,3,-1675.358154
A6,3,
A7,3,
A8,3,
A9,3,
A10,3,
A11,3,
A12,3,-1213.175781
B1,3,50192.01563
B2,3,36024.69922
B3,3,31923.35938
B4,3,
