Well,Sample.Name,Target.Name
A1,std_1,S.con_crRNA_1
A2,std_1,S.con_crRNA_1
A3,std_1,S.con_crRNA_1
A4,,
A5,std_9,S.con_crRNA_1
A6,,
A7,,
A8,,
A9,,
A10,,
A11,,
A12,NTC,S.con_crRNA_1
B1,std_2,S.con_crRNA_1
B2,std_2,S.con_crRNA_1
B3,std_2,S.con_crRNA_1
B4,,
B5,std_9,S.con_crRNA_1
B6,,
B7,,
B8,,
B9,,
B10,,
B11,,
B12,NTC,S.con_crRNA_1
C1,std_3,S.con_crRNA_1
C2,std_3,S.con_crRNA_1
C3,std_3,S.con_crRNA_1
C4,,
C5,std_9,S.con_crRNA_1
C6,,
C7,,
C8,,
C9,,
C10,,
C11,,
C12,NTC,S.con_crRNA_1
D1,std_4,S.con_crRNA_1
D2,std_4,S.con_crRNA_1
D3,std_4,S.con_crRNA_1
D4,,
D5,,
D6,,
D7,,
D8,,
D9,,
D10,,
D11,,
D12,,
E1,std_5,S.con_crRNA_1
E2,std_5,S.con_crRNA_1
E3,std_5,S.con_crRNA_1
E4,,
E5,,
E6,,
E7,,
E8,,
E9,,
E10,,
E11,,
E12,,
F1,std_6,S.con_crRNA_1
F2,std_6,S.con_crRNA_1
F3,std_6,S.con_crRNA_1
F4,,
F5,,
F6,,
F7,,
F8,,
F9,,
F10,,
F11,,
F12,,
G1,std_7,S.con_crRNA_1
G2,std_7,S.con_crRNA_1
G3,std_7,S.con_crRNA_1
G4,,
G5,,
G6,,
G7,,
G8,,
G9,,
G10,,
G11,,
G12,,
H1,std_8,S.con_crRNA_1
H2,std_8,S.con_crRNA_1
H3,std_8,S.con_crRNA_1
H4,,
H5,,
H6,,
H7,,
H8,,
H9,,
H10,,
H11,,
H12,,
