Well,Cycle,FAM
A1,1,15231.84277
A2,1,8545.790039
A3,1,14441.23926
A4,1,-4562.679688
A5,1,-4462.277832
A6,1,-4278.544922
A7,1,-3731.185303
A8,1,-4463.310059
A9,1,
A10,1,
A11,1,
A12,1,
B1,1,13378.80762
B2,1,15727.10254
B3,1,13457.02734
B4,1,-4192.868164
B5,1,-4145.587402
B6,1,-4403.508789
B7,1,-4583.966797
B8,1,-4809.178223
B9,1,
B10,1,
B11,1,
B12,1,
C1,1,13141.28516
C2,1,13970.9043
C3,1,10276.51074
C4,1,-4105.693359
C5,1,-3865.007813
C6,1,-4744.94043
C7,1,-4703.291992
C8,1,-4592.56543
C9,1,
C10,1,
C11,1,
C12,1,
D1,1,13887.56836
D2,1,15168.66016
D3,1,9869.882813
D4,1,-4459.378418
D5,1,-3798.498535
D6,1,-4554.132813
D7,1,-4529.788574
D8,1,
D9,1,
D10,1,
D11,1,
D12,1,
E1,1,15255.87598
E2,1,9877.786133
E3,1,11165.35352
E4,1,-4361.247559
E5,1,-4476.428711
E6,1,-4434.291992
E7,1,-4332.383789
E8,1,
E9,1,
E10,1,
E11,1,
E12,1,
F1,1,-4010.473145
F2,1,-3595.528809
F3,1,-4048.35376
F4,1,-4463.3125
F5,1,-4137.425293
F6,1,-4344.142578
F7,1,-4388.741211
F8,1,
F9,1,
F10,1,
F11,1,
F12,1,
G1,1,-4331.456543
G2,1,-4640.477539
G3,1,-4713.9375
G4,1,-3580.180176
G5,1,-5022.473145
G6,1,-4723.522949
G7,1,
G8,1,
G9,1,
G10,1,
G11,1,
G12,1,
H1,1,-2391.605225
H2,1,-4630.378418
H3,1,-4140.025391
H4,1,-4722.036133
H5,1,-4509.264648
H6,1,-4914.657227
H7,1,
H8,1,
H9,1,
H10,1,
H11,1,
H12,1,
A1,2,16469.1543
A2,2,10140.04883
A3,2,16172.75488
A4,2,-4571.436523
A5,2,-4505.634766
A6,2,-4302.540039
A7,2,-3745.667236
A8,2,-4475.856445
A9,2,
A10,2,
A11,2,
A12,2,
B1,2,15441.97461
B2,2,17307.46094
B3,2,15106
B4,2,-4237.081543
B5,2,-4173.169922
B6,2,-4441.008301
B7,2,-4623.376953
B8,2,-4830.86084
B9,2,
B10,2,
B11,2,
B12,2,
C1,2,14674.78516
C2,2,15732.10645
C3,2,12009.10254
C4,2,-4095.01709
C5,2,-3811.314209
C6,2,-4766.916504
C7,2,-4709.141602
C8,2,-4605.481445
C9,2,
C10,2,
C11,2,
C12,2,
D1,2,14922.83887
D2,2,17106.44531
D3,2,11802.9375
D4,2,-4456.949219
D5,2,-3808.097656
D6,2,-4575.424805
D7,2,-4559.708984
D8,2,
D9,2,
D10,2,
D11,2,
D12,2,
E1,2,16742.30859
E2,2,11818.88184
E3,2,13297.63281
E4,2,-4400.810059
E5,2,-4504.835449
E6,2,-4443.062988
E7,2,-4363.738281
E8,2,
E9,2,
E10,2,
E11,2,
E12,2,
F1,2,-4005.228027
F2,2,-3609.698486
F3,2,-4059.323242
F4,2,-4480.489258
F5,2,-4163.114258
F6,2,-4350.881836
F7,2,-4408.164063
F8,2,
F9,2,
