Well,Sample Name,Target Name
A1,S.con_1,B.trt_ITS1_crRNA_2
A2,S.con_1,B.trt_ITS1_crRNA_2
A3,S.con_1,B.trt_ITS1_crRNA_2
A4,S.mal_1,B.trt_ITS1_crRNA_2
A5,S.mal_1,B.trt_ITS1_crRNA_2
A6,S.mal_1,B.trt_ITS1_crRNA_2
A7,O.nerka,B.trt_ITS1_crRNA_2
A8,NTC,B.trt_ITS1_crRNA_2
A9,,
A10,,
A11,,
A12,,
B1,S.con_2,B.trt_ITS1_crRNA_2
B2,S.con_2,B.trt_ITS1_crRNA_2
B3,S.con_2,B.trt_ITS1_crRNA_2
B4,S.mal_2,B.trt_ITS1_crRNA_2
B5,S.mal_2,B.trt_ITS1_crRNA_2
B6,S.mal_2,B.trt_ITS1_crRNA_2
B7,O.nerka,B.trt_ITS1_crRNA_2
B8,NTC,B.trt_ITS1_crRNA_2
B9,,
B10,,
B11,,
B12,,
C1,S.con_3,B.trt_ITS1_crRNA_2
C2,S.con_3,B.trt_ITS1_crRNA_2
C3,S.con_3,B.trt_ITS1_crRNA_2
C4,S.mal_3,B.trt_ITS1_crRNA_2
C5,S.mal_3,B.trt_ITS1_crRNA_2
C6,S.mal_3,B.trt_ITS1_crRNA_2
C7,O.nerka,B.trt_ITS1_crRNA_2
C8,NTC,B.trt_ITS1_crRNA_2
C9,,
C10,,
C11,,
C12,,
D1,S.con_4,B.trt_ITS1_crRNA_2
D2,S.con_4,B.trt_ITS1_crRNA_2
D3,S.con_4,B.trt_ITS1_crRNA_2
D4,S.mal_4,B.trt_ITS1_crRNA_2
D5,S.mal_4,B.trt_ITS1_crRNA_2
D6,S.mal_4,B.trt_ITS1_crRNA_2
D7,A.nebulosus,B.trt_ITS1_crRNA_2
D8,,
D9,,
D10,,
D11,,
D12,,
E1,S.con_5,B.trt_ITS1_crRNA_2
E2,S.con_5,B.trt_ITS1_crRNA_2
E3,S.con_5,B.trt_ITS1_crRNA_2
E4,S.mal_5,B.trt_ITS1_crRNA_2
E5,S.mal_5,B.trt_ITS1_crRNA_2
E6,S.mal_5,B.trt_ITS1_crRNA_2
E7,A.nebulosus,B.trt_ITS1_crRNA_2
E8,,
E9,,
E10,,
E11,,
E12,,
F1,S.tru_1,B.trt_ITS1_crRNA_2
F2,S.tru_1,B.trt_ITS1_crRNA_2
F3,S.tru_1,B.trt_ITS1_crRNA_2
F4,O.clarkii,B.trt_ITS1_crRNA_2
F5,O.clarkii,B.trt_ITS1_crRNA_2
F6,O.clarkii,B.trt_ITS1_crRNA_2
F7,A.nebulosus,B.trt_ITS1_crRNA_2
F8,,
F9,,
F10,,
F11,,
F12,,
G1,S.tru_2,B.trt_ITS1_crRNA_2
G2,S.tru_2,B.trt_ITS1_crRNA_2
G3,S.tru_2,B.trt_ITS1_crRNA_2
G4,O.mykiss,B.trt_ITS1_crRNA_2
G5,O.mykiss,B.trt_ITS1_crRNA_2
G6,O.mykiss,B.trt_ITS1_crRNA_2
G7,,
G8,,
G9,,
G10,,
G11,,
G12,,
H1,S.tru_3,B.trt_ITS1_crRNA_2
H2,S.tru_3,B.trt_ITS1_crRNA_2
H3,S.tru_3,B.trt_ITS1_crRNA_2
H4,O.kisutch,B.trt_ITS1_crRNA_2
H5,O.kisutch,B.trt_ITS1_crRNA_2
H6,O.kisutch,B.trt_ITS1_crRNA_2
H7,,
H8,,
H9,,
H10,,
H11,,
H12,,
