Well,Sample Name,Target Name
A1,E.tri_1,P.lamp_crRNA_1
A2,E.tri_suspect,P.lamp_crRNA_1
A3,,
A4,E.tri_sanger,R.lamp_crRNA_1
A5,E.tri_sanger,R.lamp_crRNA_1
A6,E.tri_sanger,R.lamp_crRNA_1
A7,E.tri_5,R.lamp_crRNA_1
A8,E.tri_5,R.lamp_crRNA_1
A9,E.tri_5,R.lamp_crRNA_1
A10,O.clarkii,R.lamp_crRNA_1
A11,O.clarkii,R.lamp_crRNA_1
A12,O.clarkii,R.lamp_crRNA_1
B1,E.tri_2,P.lamp_crRNA_1
B2,L.kes_1,P.lamp_crRNA_1
B3,,
B4,L.ayr_2,R.lamp_crRNA_1
B5,L.ayr_2,R.lamp_crRNA_1
B6,L.ayr_2,R.lamp_crRNA_1
B7,L.kes_1,R.lamp_crRNA_1
B8,L.kes_1,R.lamp_crRNA_1
B9,L.kes_1,R.lamp_crRNA_1
B10,O.mykiss,R.lamp_crRNA_1
B11,O.mykiss,R.lamp_crRNA_1
B12,O.mykiss,R.lamp_crRNA_1
C1,E.tri_3,P.lamp_crRNA_1
C2,L.kes_2,P.lamp_crRNA_1
C3,,
C4,L.ayr_3,R.lamp_crRNA_1
C5,L.ayr_3,R.lamp_crRNA_1
C6,L.ayr_3,R.lamp_crRNA_1
C7,L.kes_2,R.lamp_crRNA_1
C8,L.kes_2,R.lamp_crRNA_1
C9,L.kes_2,R.lamp_crRNA_1
C10,O.kisutch,R.lamp_crRNA_1
C11,O.kisutch,R.lamp_crRNA_1
C12,O.kisutch,R.lamp_crRNA_1
D1,E.tri_4,P.lamp_crRNA_1
D2,S.tru_1,P.lamp_crRNA_1
D3,,
D4,E.tri_suspect,R.lamp_crRNA_1
D5,E.tri_suspect,R.lamp_crRNA_1
D6,E.tri_suspect,R.lamp_crRNA_1
D7,L.kes_3,R.lamp_crRNA_1
D8,L.kes_3,R.lamp_crRNA_1
D9,L.kes_3,R.lamp_crRNA_1
D10,S.mal_1,R.lamp_crRNA_1
D11,S.mal_1,R.lamp_crRNA_1
D12,S.mal_1,R.lamp_crRNA_1
E1,E.tri_5,P.lamp_crRNA_1
E2,S.tru_2,P.lamp_crRNA_1
E3,,
E4,E.tri_1,R.lamp_crRNA_1
E5,E.tri_1,R.lamp_crRNA_1
E6,E.tri_1,R.lamp_crRNA_1
E7,L.kes_4,R.lamp_crRNA_1
E8,L.kes_4,R.lamp_crRNA_1
E9,L.kes_4,R.lamp_crRNA_1
E10,S.mal_2,R.lamp_crRNA_1
E11,S.mal_2,R.lamp_crRNA_1
E12,S.mal_2,R.lamp_crRNA_1
F1,E.tri_sanger,P.lamp_crRNA_1
F2,,
F3,,
F4,E.tri_2,R.lamp_crRNA_1
F5,E.tri_2,R.lamp_crRNA_1
F6,E.tri_2,R.lamp_crRNA_1
F7,L.kes_5,R.lamp_crRNA_1
F8,L.kes_5,R.lamp_crRNA_1
F9,L.kes_5,R.lamp_crRNA_1
F10,,
F11,,
F12,,
G1,L.ayr_2,P.lamp_crRNA_1
G2,,
G3,,
G4,E.tri_3,R.lamp_crRNA_1
G5,E.tri_3,R.lamp_crRNA_1
G6,E.tri_3,R.lamp_crRNA_1
G7,S.tru_1,R.lamp_crRNA_1
G8,S.tru_1,R.lamp_crRNA_1
G9,S.tru_1,R.lamp_crRNA_1
G10,,
G11,,
G12,,
H1,L.ayr_3,P.lamp_crRNA_1
H2,NTC,P.lamp_crRNA_1
H3,,
H4,E.tri_4,R.lamp_crRNA_1
H5,E.tri_4,R.lamp_crRNA_1
H6,E.tri_4,R.lamp_crRNA_1
H7,S.tru_2,R.lamp_crRNA_1
H8,S.tru_2,R.lamp_crRNA_1
H9,S.tru_2,R.lamp_crRNA_1
H10,NTC,R.lamp_crRNA_1
H11,NTC,R.lamp_crRNA_1
H12,NTC,R.lamp_crRNA_1
