Well,Cycle,FAM
A1,1,6332.342285
A2,1,8381.911133
A3,1,6404.245117
A4,1,5845.04541
A5,1,4011.009277
A6,1,13192.99805
A7,1,2452.412109
A8,1,1339.237305
A9,1,2161.736816
A10,1,-3862.731445
A11,1,-4501.51709
A12,1,-4168.220703
B1,1,242.5206909
B2,1,6087.90918
B3,1,6165.512207
B4,1,1127.518921
B5,1,2210.701904
B6,1,1022.022461
B7,1,2838.027588
B8,1,1703.859619
B9,1,4907.420898
B10,1,-4907.605957
B11,1,-4554.274902
B12,1,-4285.635742
C1,1,-130.6624451
C2,1,1816.421387
C3,1,6028.331055
C4,1,2785.517334
C5,1,4006.347656
C6,1,2570.770508
C7,1,269.7884827
C8,1,-2935.644043
C9,1,-2746.541504
C10,1,-4300.449219
C11,1,-3950.584717
C12,1,-3944.072754
D1,1,-3344.390625
D2,1,82.39718628
D3,1,188.3518066
D4,1,-198.605011
D5,1,-3784.563965
D6,1,2220.428711
D7,1,-4476.652832
D8,1,-4684.450684
D9,1,-688.2084351
D10,1,
D11,1,
D12,1,
E1,1,-4075.286865
E2,1,-3696.152832
E3,1,-3452.634033
E4,1,-4026.465088
E5,1,-4466.504883
E6,1,-3687.857178
E7,1,-4260.376465
E8,1,-3918.407715
E9,1,-2574.132324
E10,1,
E11,1,
E12,1,
F1,1,-3876.760254
F2,1,-3625.173096
F3,1,-3890.240967
F4,1,-4642.091797
F5,1,-4173.729004
F6,1,-4416.347656
F7,1,-4503.51416
F8,1,-4762.799805
F9,1,-3721.455078
F10,1,
F11,1,
F12,1,-4379.6875
G1,1,-4276.438965
G2,1,-4502.869629
G3,1,-5017.444824
G4,1,-3304.926025
G5,1,-5125.366699
G6,1,-4842.936523
G7,1,-4839.682617
G8,1,-3909.648193
G9,1,-4488.087891
G10,1,
G11,1,
G12,1,-4145.655273
H1,1,-2367.544189
H2,1,-4333.560547
H3,1,-3976.921387
H4,1,-4565.692383
H5,1,-4391.507813
H6,1,-4822.177734
H7,1,-4500.582031
H8,1,-4705.307617
H9,1,-4258.963867
H10,1,
H11,1,
H12,1,-4371.431152
A1,2,7627.507813
A2,2,9495.341797
A3,2,7627.525879
A4,2,7009.875
A5,2,5148.318848
A6,2,14419.87402
A7,2,3090.342041
A8,2,2156.572021
A9,2,3136.612305
A10,2,-3887.854736
A11,2,-4552.36377
A12,2,-4221.098633
B1,2,859.7861938
B2,2,7366.9375
B3,2,7317.148926
B4,2,1843.710205
B5,2,3133.755127
B6,2,1767.6427
B7,2,3768.185303
B8,2,2713.383545
B9,2,6102.275879
B10,2,-4969.969238
B11,2,-4586.080566
B12,2,-4315.960938
C1,2,358.9820557
C2,2,2624.834473
C3,2,7381.344727
C4,2,3635.210693
C5,2,5049.265137
C6,2,3465.891602
C7,2,923.4717407
C8,2,-2654.608398
C9,2,-2385.824707
C10,2,-4348.054688
C11,2,-3944.150391
C12,2,-3977.180664
D1,2,-3288.40332
D2,2,537.6724243
D3,2,826.0618286
D4,2,415.0406494
D5,2,-3775.908447
D6,2,3120.664795
D7,2,-4500.053711
D8,2,-4740.808594
D9,2,-100.2374268
D10,2,
D11,2,
D12,2,
E1,2,-4133.269531
E2,2,-3656.562988
E3,2,-3409.974854
E4,2,-4000.700439
E5,2,-4452.665039
E6,2,-3595.735352
E7,2,-4322.195313
E8,2,-3895.233398
E9,2,-2720.015381
E10,2,
E11,2,
E12,2,
F1,2,-3955.219482
F2,2,-3724.977051
F3,2,-3912.20752
F4,2,-4698.228027
F5,2,-4234.118164
F6,2,-4510.872559
F7,2,-4575.164063
F8,2,-4800.79248
F9,2,-3793.185791
F10,2,
F11,2,
F12,2,-4424.19043
G1,2,-4323.334961
G2,2,-4554.865234
G3,2,-4977.191406
G4,2,-3346.456543
G5,2,-5181.244629
G6,2,-4921.995605
G7,2,-4903.791016
G8,2,-4001.916016
G9,2,-4509.065918
G10,2,
G11,2,
G12,2,-4171.692383
H1,2,-2440.320557
H2,2,-4395.329102
H3,2,-4045.533447
H4,2,-4629.161621
H5,2,-4453.898438
H6,2,-4875.430176
H7,2,-4564.929199
H8,2,-4765.775391
H9,2,-4326.255371
H10,2,
H11,2,
H12,2,-4421.706543
A1,3,8819.029297
A2,3,10681.15332
A3,3,8761.072266
A4,3,8078.63916
A5,3,6205.002441
A6,3,15488.18359
A7,3,3760.092529
