Well,Sample.Name,Target.Name,conc
A1,1:1,S.con-1,0.973
A2,1:1,S.con-1,0.973
A3,1:1,S.con-1,0.973
A4,1:1,S.con-2,1.4467
A5,1:1,S.con-2,1.4467
A6,1:1,S.con-2,1.4467
A7,1:1,S.con-3,1.2233
A8,1:1,S.con-3,1.2233
A9,1:1,S.con-3,1.2233
A10,1:1000000,S.con-1,0.000000973
A11,1:1000000,S.con-1,0.000000973
A12,1:1000000,S.con-1,0.000000973
B1,1:10,S.con-1,0.0973
B2,1:10,S.con-1,0.0973
B3,1:10,S.con-1,0.0973
B4,1:10,S.con-2,0.14467
B5,1:10,S.con-2,0.14467
B6,1:10,S.con-2,0.14467
B7,1:10,S.con-3,0.12233
B8,1:10,S.con-3,0.12233
B9,1:10,S.con-3,0.12233
B10,1:1000000,S.con-2,1.4467E-06
B11,1:1000000,S.con-2,1.4467E-06
B12,1:1000000,S.con-2,1.4467E-06
C1,1:100,S.con-1,0.00973
C2,1:100,S.con-1,0.00973
C3,1:100,S.con-1,0.00973
C4,1:100,S.con-2,0.014467
C5,1:100,S.con-2,0.014467
C6,1:100,S.con-2,0.014467
C7,1:100,S.con-3,0.012233
C8,1:100,S.con-3,0.012233
C9,1:100,S.con-3,0.012233
C10,1:1000000,S.con-3,1.2233E-06
C11,1:1000000,S.con-3,1.2233E-06
C12,1:1000000,S.con-3,1.2233E-06
D1,1:1000,S.con-1,0.000973
D2,1:1000,S.con-1,0.000973
D3,1:1000,S.con-1,0.000973
D4,1:1000,S.con-2,0.0014467
D5,1:1000,S.con-2,0.0014467
D5,1:1000,S.con-2,0.0014467
D6,1:1000,S.con-2,0.0014467
D7,1:1000,S.con-3,0.0012233
D8,1:1000,S.con-3,0.0012233
D9,1:1000,S.con-3,0.0012233
D10,,,
D11,,,
D12,,,
E1,1:10000,S.con-1,0.0000973
E2,1:10000,S.con-1,0.0000973
E3,1:10000,S.con-1,0.0000973
E4,1:10000,S.con-2,0.00014467
E5,1:10000,S.con-2,0.00014467
E6,1:10000,S.con-2,0.00014467
E7,1:10000,S.con-3,0.00012233
E8,1:10000,S.con-3,0.00012233
E9,1:10000,S.con-3,0.00012233
E10,,,
E11,,,
E12,,,
F1,1:50000,S.con-1,0.00001946
F2,1:50000,S.con-1,0.00001946
F3,1:50000,S.con-1,0.00001946
F4,1:50000,S.con-2,0.000028934
F5,1:50000,S.con-2,0.000028934
F6,1:50000,S.con-2,0.000028934
F7,1:50000,S.con-3,0.000024466
F8,1:50000,S.con-3,0.000024466
F9,1:50000,S.con-3,0.000024466
F10,,,
F11,,,
F12,NTC,,
G1,1:100000,S.con-1,0.00000973
G2,1:100000,S.con-1,0.00000973
G3,1:100000,S.con-1,0.00000973
G4,1:100000,S.con-2,0.000014467
G5,1:100000,S.con-2,0.000014467
G6,1:100000,S.con-2,0.000014467
G7,1:100000,S.con-3,0.000012233
G8,1:100000,S.con-3,0.000012233
G9,1:100000,S.con-3,0.000012233
G10,,,
G11,,,
G12,NTC,,
H1,1:500000,S.con-1,0.000001946
H2,1:500000,S.con-1,0.000001946
H3,1:500000,S.con-1,0.000001946
H4,1:500000,S.con-2,2.8934E-06
H5,1:500000,S.con-2,2.8934E-06
H6,1:500000,S.con-2,2.8934E-06
H7,1:500000,S.con-3,2.4466E-06
H8,1:500000,S.con-3,2.4466E-06
H9,1:500000,S.con-3,2.4466E-06
H10,,,
H11,,,
H12,NTC,,
