Well,Sample.Name,Target.Name,conc
A1,1:1,E.tri-1,1.0867
A2,1:1,E.tri-1,1.0867
A3,1:1,E.tri-1,1.0867
A4,1:1,E.tri_2,1.33
A5,1:1,E.tri_2,1.33
A6,1:1,E.tri_2,1.33
A7,1:1,E.tri-3,1.0933
A8,1:1,E.tri-3,1.0933
A9,1:1,E.tri-3,1.0933
A10,1:1000000,E.tri-1,1.0867E-06
A11,1:1000000,E.tri-1,1.0867E-06
A12,1:1000000,E.tri-1,1.0867E-06
B1,1:10,E.tri-1,0.10867
B2,1:10,E.tri-1,0.10867
B3,1:10,E.tri-1,0.10867
B4,1:10,E.tri_2,0.133
B5,1:10,E.tri_2,0.133
B6,1:10,E.tri_2,0.133
B7,1:10,E.tri-3,0.10933
B8,1:10,E.tri-3,0.10933
B9,1:10,E.tri-3,0.10933
B10,1:1000000,E.tri_2,0.00000133
B11,1:1000000,E.tri_2,0.00000133
B12,1:1000000,E.tri_2,0.00000133
C1,1:100,E.tri-1,0.010867
C2,1:100,E.tri-1,0.010867
C3,1:100,E.tri-1,0.010867
C4,1:100,E.tri_2,0.0133
C5,1:100,E.tri_2,0.0133
C6,1:100,E.tri_2,0.0133
C7,1:100,E.tri-3,0.010933
C8,1:100,E.tri-3,0.010933
C9,1:100,E.tri-3,0.010933
C10,1:1000000,E.tri-3,1.0933E-06
C11,1:1000000,E.tri-3,1.0933E-06
C12,1:1000000,E.tri-3,1.0933E-06
D1,1:1000,E.tri-1,0.0010867
D2,1:1000,E.tri-1,0.0010867
D3,1:1000,E.tri-1,0.0010867
D4,1:1000,E.tri_2,0.00133
D5,1:1000,E.tri_2,0.00133
D6,1:1000,E.tri_2,0.00133
D7,1:1000,E.tri-3,0.0010933
D8,1:1000,E.tri-3,0.0010933
D9,1:1000,E.tri-3,0.0010933
D10,,,
D11,,,
D12,,,
E1,1:10000,E.tri-1,0.00010867
E2,1:10000,E.tri-1,0.00010867
E3,1:10000,E.tri-1,0.00010867
E4,1:10000,E.tri_2,0.000133
E5,1:10000,E.tri_2,0.000133
E6,1:10000,E.tri_2,0.000133
E7,1:10000,E.tri-3,0.00010933
E8,1:10000,E.tri-3,0.00010933
E9,1:10000,E.tri-3,0.00010933
E10,,,
E11,,,
E12,,,
F1,1:50000,E.tri-1,0.000021734
F2,1:50000,E.tri-1,0.000021734
F3,1:50000,E.tri-1,0.000021734
F4,1:50000,E.tri_2,0.0000266
F5,1:50000,E.tri_2,0.0000266
F6,1:50000,E.tri_2,0.0000266
F7,1:50000,E.tri-3,0.000021866
F8,1:50000,E.tri-3,0.000021866
F9,1:50000,E.tri-3,0.000021866
F10,,,
F11,,,
F12,NTC,,0
G1,1:100000,E.tri-1,0.000010867
G2,1:100000,E.tri-1,0.000010867
G3,1:100000,E.tri-1,0.000010867
G4,1:100000,E.tri_2,0.0000133
G5,1:100000,E.tri_2,0.0000133
G6,1:100000,E.tri_2,0.0000133
G7,1:100000,E.tri-3,0.000010933
G8,1:100000,E.tri-3,0.000010933
G9,1:100000,E.tri-3,0.000010933
G10,,,
G11,,,
G12,NTC,,0
H1,1:500000,E.tri-1,2.1734E-06
H2,1:500000,E.tri-1,2.1734E-06
H3,1:500000,E.tri-1,2.1734E-06
H4,1:500000,E.tri_2,0.00000266
H5,1:500000,E.tri_2,0.00000266
H6,1:500000,E.tri_2,0.00000266
H7,1:500000,E.tri-3,2.1866E-06
H8,1:500000,E.tri-3,2.1866E-06
H9,1:500000,E.tri-3,2.1866E-06
H10,,,
H11,,,
H12,NTC,,0
