Well,Cycle,FAM
A1,1,15540.03027
A2,1,6728.288574
A3,1,11540.86426
A4,1,-3755.813232
A5,1,-3739.73584
A6,1,-3137.767822
A7,1,-2523.386719
A8,1,-3439.169434
A9,1,-4084.272705
A10,1,-3078.133301
A11,1,1051.369385
A12,1,-3427.837646
B1,1,14312.7334
B2,1,10104.91699
B3,1,12370.58008
B4,1,-3700.864746
B5,1,-3711.518799
B6,1,-3648.175781
B7,1,-3968.900879
B8,1,-4215.352539
B9,1,-3945.431152
B10,1,-4226.629395
B11,1,4861.67334
B12,1,-3559.863525
C1,1,-1941.364258
C2,1,-1755.955688
C3,1,-1876.22522
C4,1,-3541.662354
C5,1,-3437.77417
C6,1,-4169.514648
C7,1,-4127.145508
C8,1,-4039.459473
C9,1,-4328.974609
C10,1,-3783.624023
C11,1,-3581.362061
C12,1,-3267.630371
D1,1,12132.72754
D2,1,9293.59375
D3,1,13090.61621
D4,1,-3988.705566
D5,1,-3224.634766
D6,1,-4111.417969
D7,1,-3951.058838
D8,1,-4120.256836
D9,1,-4138.240234
D10,1,
D11,1,610.4187622
D12,1,
E1,1,8192.53418
E2,1,9051.59375
E3,1,12214.38477
E4,1,-3815.828857
E5,1,-3479.353516
E6,1,-3497.334473
E7,1,-3893.443115
E8,1,-3820.448242
E9,1,-3721.307129
E10,1,
E11,1,1201.867432
E12,1,
F1,1,11214.38379
F2,1,3962.483154
F3,1,15836.08301
F4,1,-3506.073242
F5,1,-3229.758301
F6,1,-3342.517578
F7,1,-3899.637939
F8,1,-4220.8125
F9,1,-3832.96582
F10,1,
F11,1,-3613.070801
F12,1,
G1,1,14643.5957
G2,1,13850.66016
G3,1,14014.11133
G4,1,-2225.243164
G5,1,-4189.993164
G6,1,-3581.722168
G7,1,-4123.171387
G8,1,-3394.399902
G9,1,-4076.758301
G10,1,
G11,1,3148.943848
G12,1,
H1,1,-1555.525391
H2,1,-3814.503662
H3,1,-3276.619629
H4,1,-3463.990234
H5,1,-2771.341064
H6,1,-3779.591309
H7,1,-3870.895996
H8,1,-4234.908203
H9,1,-3751.972168
H10,1,
H11,1,10977.03809
H12,1,
A1,2,20463.73047
A2,2,8930.931641
A3,2,15550.8457
A4,2,-3833.061035
A5,2,-3815.42334
A6,2,-3202.459961
A7,2,-2444.4021
A8,2,-3267.17334
A9,2,-4048.524414
A10,2,-3118.637695
A11,2,2508.27002
A12,2,-3467.225098
B1,2,18938.56836
B2,2,14077.60156
B3,2,16650.70117
B4,2,-3730.067383
B5,2,-3778.773926
B6,2,-3739.327637
B7,2,-4041.83374
B8,2,-4257.75293
B9,2,-3990.673828
B10,2,-4310.011719
B11,2,7209.503906
B12,2,-3573.160645
C1,2,-1554.137451
C2,2,-1337.151367
C3,2,-1305.433105
C4,2,-3632.789307
C5,2,-3501.361328
C6,2,-4268.335938
C7,2,-4239.976563
C8,2,-4097.955078
C9,2,-4381.689453
C10,2,-3831.942627
C11,2,-3632.62207
C12,2,-3327.530762
D1,2,16203.62891
D2,2,12587.64551
D3,2,17623.60547
D4,2,-4043.820068
D5,2,-3274.966553
D6,2,-4153.916016
D7,2,-4024.748291
D8,2,-4189.804688
D9,2,-4181.320313
D10,2,
D11,2,1987.036255
D12,2,
E1,2,11375.74805
E2,2,12600.04199
E3,2,16563.96484
E4,2,-3797.690674
E5,2,-3203.499268
E6,2,-3407.838867
E7,2,-3971.97876
E8,2,-3892.207031
E9,2,-3862.491211
E10,2,
E11,2,2745.945557
E12,2,
F1,2,15146.12012
F2,2,6023.129883
F3,2,20515.99219
F4,2,-3294.986084
F5,2,-3148.789795
F6,2,-3272.962891
F7,2,-3948.226807
F8,2,-4295.655273
F9,2,-3893.452148
F10,2,
F11,2,-3636.388428
F12,2,
G1,2,19505.84766
G2,2,18164.0918
G3,2,18195.68359
G4,2,-2035.30542
G5,2,-4026.623047
G6,2,-3465.141113
G7,2,-4205.221191
G8,2,-3486.351563
G9,2,-4101.479492
G10,2,
G11,2,5361.110352
G12,2,
H1,2,-1606.407837
H2,2,-3873.839355
H3,2,-3333.153564
H4,2,-3286.027344
H5,2,-2264.981201
H6,2,-3677.88916
H7,2,-3925.185059
H8,2,-4268.083984
H9,2,-3812.945801
H10,2,
H11,2,14597.76367
H12,2,
A1,3,24975.85547
A2,3,11267.83691
A3,3,19507.75391
A4,3,-3840.966553
A5,3,-3833.695068
A6,3,-3228.466797
A7,3,-2319.902832
A8,3,-3029.998047
A9,3,-4002.866211
A10,3,-3149.302246
A11,3,4043.024414
A12,3,-3451.375977
B1,3,23393.64844
B2,3,17822.70703
B3,3,20862.48438
B4,3,-3767.348145
B5,3,-3784.805176
B6,3,-3808.110596
B7,3,-4052.336426
B8,3,-4277.772461
B9,3,-4025.958984
B10,3,-4313.69873
B11,3,9656.068359
B12,3,-3581.70166
C1,3,-1052.668457
C2,3,-797.3936768
C3,3,-650.6541748
C4,3,-3644.723633
C5,3,-3543.563477
C6,3,-4313.799316
C7,3,-4275.040039
C8,3,-4140.769531
C9,3,-4407.224609
C10,3,-3861.356934
C11,3,-3636.145996
C12,3,-3327.769287
D1,3,20264.09375
D2,3,16115.85352
D3,3,21864.16992
D4,3,-4064.068359
D5,3,-3293.022461
D6,3,-4200.97168
D7,3,-4044.994629
D8,3,-4214.315918
D9,3,-4214
D10,3,
D11,3,3464.093994
D12,3,
E1,3,14680.61914
E2,3,16262.02539
E3,3,20721.50586
E4,3,-3727.418213
E5,3,-2815.717529
E6,3,-3177.945313
E7,3,-3994.408936
E8,3,-3911.91333
E9,3,-3942.213867
E10,3,
E11,3,4343.735352
E12,3,
F1,3,18894.51563
F2,3,8195.589844
F3,3,24865.91016
F4,3,-3025.769287
F5,3,-2993.142578
F6,3,-3075.460449
F7,3,-3952.773926
F8,3,-4305.924805
F9,3,-3927.438477
F10,3,
F11,3,-3642.72998
F12,3,
G1,3,23892.47656
G2,3,22504.64844
G3,3,22299.44531
G4,3,-1766.736328
G5,3,-3803.620117
G6,3,-3268.980957
G7,3,-4247.439453
G8,3,-3523.001465
G9,3,-4113.172852
G10,3,
G11,3,7690.118164
G12,3,
H1,3,-1635.894775
H2,3,-3912.825928
H3,3,-3410.807861
H4,3,-3053.621582
H5,3,-1644.647705
H6,3,-3506.071045
H7,3,-3937.609375
H8,3,-4308.192383
H9,3,-3847.047363
H10,3,
H11,3,18043.98828
H12,3,
A1,4,28704.65625
A2,4,13324.69141
A3,4,23012.87695
A4,4,-3841.695801
A5,4,-3852.757813
A6,4,-3227.743652
A7,4,-2165.283691
A8,4,-2805.342773
A9,4,-3927.389648
A10,4,-3148.929688
A11,4,5466.046387
A12,4,-3451.697754
B1,4,27182.20898
B2,4,21124.40039
B3,4,24477.10742
B4,4,-3772.622314
B5,4,-3785.740234
B6,4,-3811.94043
B7,4,-4035.408203
B8,4,-4264.928711
B9,4,-4046.263672
B10,4,-4333.873047
B11,4,11964.36133
B12,4,-3561.321533
C1,4,-546.0335083
C2,4,-265.9796753
C3,4,28.29919434
C4,4,-3649.243652
C5,4,-3549.051758
C6,4,-4324.489746
C7,4,-4338.568359
C8,4,-4118.97168
C9,4,-4399.587402
C10,4,-3873.984619
C11,4,-3642.305664
C12,4,-3329.353027
D1,4,23787.79102
D2,4,19347.17188
D3,4,25684.98438
D4,4,-4063.835693
D5,4,-3324.035156
D6,4,-4189.193848
D7,4,-4073.821533
D8,4,-4188.013184
D9,4,-4209.875977
D10,4,
D11,4,4864.229492
D12,4,
E1,4,17662.4668
E2,4,19559.60156
E3,4,24335.45117
E4,4,-3640.195313
E5,4,-2399.94873
E6,4,-2963.967773
E7,4,-3997.236572
E8,4,-3895.58374
E9,4,-3969.155029
E10,4,
E11,4,5832.691406
E12,4,
F1,4,22349.21875
F2,4,10247.59961
F3,4,28742.5625
F4,4,-2734.141602
F5,4,-2750.514404
F6,4,-2866.270996
F7,4,-3921.131592
F8,4,-4309.375488
F9,4,-3938.258545
F10,4,
F11,4,-3622.651855
F12,4,
G1,4,27735.2168
G2,4,26343.05469
G3,4,25852.80273
G4,4,-1446.776367
G5,4,-3579.872803
G6,4,-3009.876709
G7,4,-4285.933594
G8,4,-3525.224121
G9,4,-4107.752441
G10,4,
G11,4,9868.164063
G12,4,
H1,4,-1638.126709
H2,4,-3911.625732
H3,4,-3384.547852
H4,4,-2768.687988
H5,4,-1030.955688
H6,4,-3306.289063
H7,4,-3937.333008
H8,4,-4280.22998
H9,4,-3839.037598
H10,4,
H11,4,21024.51953
H12,4,
A1,5,32249.99609
A2,5,15553.21777
A3,5,26478.83984
A4,5,-3856.61499
A5,5,-3867.260742
A6,5,-3258.259277
A7,5,-1957.046631
A8,5,-2504.73584
A9,5,-3854.465332
A10,5,-3159.022461
A11,5,7059.79541
A12,5,-3456.63623
B1,5,30793.14648
B2,5,24645.97656
B3,5,28105.60938
B4,5,-3722.903809
B5,5,-3776.513916
B6,5,-3797.228027
B7,5,-4050.127197
B8,5,-4261.82666
B9,5,-4042.05542
B10,5,-4330.132813
B11,5,14241.5752
B12,5,-3559.044189
C1,5,33.8682251
C2,5,312.232605
C3,5,767.189209
C4,5,-3685.175293
C5,5,-3534.48291
C6,5,-4303.143066
C7,5,-4316.290039
C8,5,-4108.170898
C9,5,-4424.301758
C10,5,-3868.986084
C11,5,-3639.757324
C12,5,-3331.792725
D1,5,27368.82031
D2,5,22369.13086
D3,5,29227.02344
D4,5,-4078.396484
D5,5,-3330.044434
D6,5,-4160.654297
D7,5,-4069.123779
D8,5,-4201.080078
D9,5,-4220.98877
D10,5,
D11,5,6445.584961
D12,5,
E1,5,20781.42969
E2,5,22591.69727
E3,5,27911.9707
E4,5,-3518.471924
E5,5,-1965.461426
E6,5,-2667.226318
E7,5,-3987.917969
E8,5,-3901.414795
E9,5,-4016.538086
E10,5,
E11,5,7518.830566
E12,5,
F1,5,25636.04102
F2,5,12378.07129
F3,5,32538.86328
F4,5,-2344.408203
F5,5,-2514.597656
F6,5,-2576.932373
F7,5,-3924.832764
F8,5,-4296.288574
F9,5,-3938.430908
F10,5,
F11,5,-3609.887207
F12,5,
G1,5,31200.80078
G2,5,30248.70508
G3,5,29268.04297
G4,5,-1126.20166
G5,5,-3320.438721
G6,5,-2728.338379
