Well,Sample.Name
A1,L.ayr_2
A2,L.ayr_2
A3,L.ayr_2
A4,E.tri_2
A5,E.tri_2
A6,E.tri_2
A7,L.kes_5
A8,L.kes_5
A9,L.kes_5
A10,NTC
A11,GR034
A12,GR184
B1,L.ayr_3
B2,L.ayr_3
B3,L.ayr_3
B4,E.tri_3
B5,E.tri_3
B6,E.tri_3
B7,S.tru_1
B8,S.tru_1
B9,S.tru_1
B10,NTC
B11,GR193
B12,GR149
C1,L.ayrSk6-3
C2,L.ayrSk6-3
C3,L.ayrSk6-3
C4,E.tri_4
C5,E.tri_4
C6,E.tri_4
C7,S.tru_2
C8,S.tru_2
C9,S.tru_2
C10,NTC
C11,GR016
C12,GR186
D1,L.ayrSk5-27
D2,L.ayrSk5-27
D3,L.ayrSk5-27
D4,E.tri_5
D5,E.tri_5
D6,E.tri_5
D7,O.clarkii
D8,O.clarkii
D9,O.clarkii
D10,
D11,GR036
D12,
E1,L.ayrSn6-9
E2,L.ayrSn6-9
E3,L.ayrSn6-9
E4,L.kes_1
E5,L.kes_1
E6,L.kes_1
E7,O.mykiss
E8,O.mykiss
E9,O.mykiss
E10,
E11,GR073
E12,
F1,L.ayrDs4-28
F2,L.ayrDs4-28
F3,L.ayrDs4-28
F4,L.kes_2
F5,L.kes_2
F6,L.kes_2
F7,O.kisutch
F8,O.kisutch
F9,O.kisutch
F10,
F11,GR004
F12,
G1,L.ayr-NOAA
G2,L.ayr-NOAA
G3,L.ayr-NOAA
G4,L.kes_3
G5,L.kes_3
G6,L.kes_3
G7,S.mal_1
G8,S.mal_1
G9,S.mal_1
G10,
G11,GR182
G12,
H1,E.tri_1
H2,E.tri_1
H3,E.tri_1
H4,L.kes_4
H5,L.kes_4
H6,L.kes_4
H7,S.mal_2
H8,S.mal_2
H9,S.mal_2
H10,
H11,GR023
H12,
