Well,Cycle,FAM
A1,1,-2911.881348
A2,1,-1894.016357
A3,1,-1996.092651
A4,1,-2791.151855
A5,1,-1948.945679
A6,1,-2355.986816
A7,1,-2507.069092
A8,1,-2952.693848
A9,1,-3734.615723
A10,1,-3631.29248
A11,1,-4276.575195
A12,1,-3732.859863
B1,1,-3450.377686
B2,1,-3217.480957
B3,1,-4026.606934
B4,1,-2974.169189
B5,1,-3032.605957
B6,1,-3759.592773
B7,1,-3951.483398
B8,1,-3376.724609
B9,1,-3617.347168
B10,1,-4643.003906
B11,1,-4203.024902
B12,1,-3843.313477
C1,1,-3214.830078
C2,1,-3824.217529
C3,1,-3056.756348
C4,1,-3832.092285
C5,1,-4070.308105
C6,1,-3482.951172
C7,1,-4569.531738
C8,1,-4301.420898
C9,1,-4396.71582
C10,1,-3996.626709
C11,1,-3631.437988
C12,1,-3630.913574
D1,1,-3855.722168
D2,1,-3132.577148
D3,1,-4169.925293
D4,1,-4034.094482
D5,1,-3823.40625
D6,1,-3950.279541
D7,1,-4122.661133
D8,1,-4432.123047
D9,1,-4598.818359
D10,1,
D11,1,
D12,1,
E1,1,-4031.937988
E2,1,-4443.195801
E3,1,-4478.95459
E4,1,-4514.032715
E5,1,-4494.102051
E6,1,-4421.978027
E7,1,-4342.771484
E8,1,-4141.693359
E9,1,-3968.174805
E10,1,
E11,1,
E12,1,
F1,1,-3835.786621
F2,1,-3262.776611
F3,1,-4182.651855
F4,1,-4528.754395
F5,1,-4194.40918
F6,1,-4405.177246
F7,1,-4357.043945
F8,1,-4619.097656
F9,1,-4129.152344
F10,1,
F11,1,
F12,1,-4013.797363
G1,1,-4296.748047
G2,1,-4233.360352
G3,1,-4560.951172
G4,1,-3671.079834
G5,1,-4915.887695
G6,1,-4633.066406
G7,1,-4577.133789
G8,1,-4006.92041
G9,1,-4644.841797
G10,1,
G11,1,
G12,1,-3963.952637
H1,1,-2201.442383
H2,1,-4249.804199
H3,1,-3960.319092
H4,1,-4535.325195
H5,1,-4240.307129
H6,1,-4521.098633
H7,1,-4364.494141
H8,1,-4599.725586
H9,1,-4254.23877
H10,1,
H11,1,
H12,1,-3635.79834
A1,2,-1674.713379
A2,2,-563.7333984
A3,2,23.71026611
A4,2,-1440.993042
A5,2,96.63696289
A6,2,-377.8540955
A7,2,-1520.303467
A8,2,-1578.37561
A9,2,-2712.95459
A10,2,-3674.735107
A11,2,-4309.181641
A12,2,-3735.216797
B1,2,-2716.581543
B2,2,-2740.972656
B3,2,-3677.770508
B4,2,-1763.529419
B5,2,-1852.182617
B6,2,-2703.529541
B7,2,-3203.135498
B8,2,-1890.275146
B9,2,-3091.074219
B10,2,-4676.558594
B11,2,-4178.018555
B12,2,-3875.789551
C1,2,-2611.501953
C2,2,-3858.94751
C3,2,-1973.914673
C4,2,-3545.690674
C5,2,-3790.15625
C6,2,-2225.149658
C7,2,-4505.95752
C8,2,-3987.552002
C9,2,-4212.679688
C10,2,-4015.416504
C11,2,-3680.090576
C12,2,-3668.94458
D1,2,-3921.867676
D2,2,-3193.104492
D3,2,-4192.980469
D4,2,-3862.943848
D5,2,-3647.601807
D6,2,-3708.259277
D7,2,-4146.530273
D8,2,-4499.763672
D9,2,-4508.041016
D10,2,
D11,2,
D12,2,
E1,2,-4104.96875
E2,2,-4504.584961
E3,2,-4534.467773
E4,2,-4494.248535
E5,2,-4475.974609
E6,2,-4418.362793
E7,2,-4420.67041
E8,2,-4191.520508
E9,2,-4070.14624
E10,2,
E11,2,
E12,2,
F1,2,-3919.202637
F2,2,-3319.259277
F3,2,-4216.861328
F4,2,-4607.330078
F5,2,-4245.613281
F6,2,-4449.969238
F7,2,-4433.416992
F8,2,-4690.853027
F9,2,-4176.020996
F10,2,
F11,2,
F12,2,-4080.76123
G1,2,-4320.060547
G2,2,-4268.213379
G3,2,-4627.827148
G4,2,-3704.267578
G5,2,-4927.785156
G6,2,-4688.712402
G7,2,-4629.066406
G8,2,-4057.600586
G9,2,-4671.655273
G10,2,
G11,2,
G12,2,-4043.435059
H1,2,-2265.501709
H2,2,-4323.06543
H3,2,-3981.34082
H4,2,-4587.426758
H5,2,-4290.621094
H6,2,-4572.348633
H7,2,-4405.863281
H8,2,-4638.812012
H9,2,-4315.608398
H10,2,
H11,2,
H12,2,-3689.005127
A1,3,-372.1606445
A2,3,793.0101929
A3,3,1904.238647
A4,3,-41.159729
A5,3,2033.537354
A6,3,1500.897339
A7,3,-492.7522888
A8,3,-189.5065308
A9,3,-1709.969727
A10,3,-3717.486816
A11,3,-4330.821289
A12,3,-3744.23877
B1,3,-1925.360107
B2,3,-2186.904785
B3,3,-3270.846191
B4,3,-598.4205322
B5,3,-610.5199585
B6,3,-1714.759521
B7,3,-2347.134521
B8,3,-506.1022339
B9,3,-2474.312744
B10,3,-4623.643555
B11,3,-4185.024902
B12,3,-3910.424316
C1,3,-1940.067993
C2,3,-3820.311768
C3,3,-843.1303711
C4,3,-3171.365234
C5,3,-3471.813232
C6,3,-950.5461426
C7,3,-4395.493164
C8,3,-3593.932617
C9,3,-3995.274902
C10,3,-4051.060547
C11,3,-3707.765625
C12,3,-3698.841309
D1,3,-3931.109863
D2,3,-3209.602539
D3,3,-4195.412109
D4,3,-3620.800293
D5,3,-3581.290039
D6,3,-3417.189941
D7,3,-4139.496094
D8,3,-4516.215332
D9,3,-4418.025391
D10,3,
D11,3,
D12,3,
E1,3,-4107.087402
E2,3,-4538.820313
E3,3,-4552.092773
E4,3,-4506.620117
E5,3,-4438.408691
E6,3,-4417.674805
E7,3,-4473.496094
E8,3,-4144.375977
E9,3,-4154.568848
E10,3,
E11,3,
E12,3,
F1,3,-3935.963379
F2,3,-3337.383301
F3,3,-4228.490234
F4,3,-4658.027344
F5,3,-4275.439941
F6,3,-4454.096191
F7,3,-4468.84668
F8,3,-4719.05957
F9,3,-4200.185547
F10,3,
F11,3,
F12,3,-4060.840332
G1,3,-4325.097656
G2,3,-4301.163086
G3,3,-4654.40625
G4,3,-3722.987061
G5,3,-4944.92041
