Well,Cycle,FAM
A1,1,-649.1656494
A2,1,2013.275391
A3,1,2560.151367
A4,1,5367.132813
A5,1,6635.721191
A6,1,6735.538086
A7,1,-416.677948
A8,1,910.5534668
A9,1,551.5472412
A10,1,-2919.571289
A11,1,-2767.971924
A12,1,-2174.985596
B1,1,-1205.287964
B2,1,1428.793945
B3,1,2013.655273
B4,1,3598.260498
B5,1,4282.016602
B6,1,5394.911621
B7,1,-855.9641113
B8,1,-1396.45459
B9,1,-707.6730957
B10,1,-3460.255371
B11,1,-3949.116943
B12,1,-2469.710205
C1,1,1861.318604
C2,1,1695.182739
C3,1,193.1042175
C4,1,2492.177734
C5,1,2784.717773
C6,1,4906.927246
C7,1,-1483.16333
C8,1,1249.768311
C9,1,50.54455566
C10,1,-2585.436035
C11,1,-3479.027588
C12,1,-2063.567383
D1,1,612.0997314
D2,1,3471.836914
D3,1,702.0302734
D4,1,2168.744141
D5,1,-516.5883789
D6,1,3663.162842
D7,1,-142.0699768
D8,1,1721.773438
D9,1,-744.2577515
D10,1,-3126.004395
D11,1,
D12,1,-2381.067627
E1,1,-1456.963623
E2,1,666.2331543
E3,1,580.6123657
E4,1,-1405.216553
E5,1,-1789.874878
E6,1,-1964.867798
E7,1,-2152.977783
E8,1,-361.052887
E9,1,-2326.246582
E10,1,-2507.815918
E11,1,
E12,1,-3364.915039
F1,1,352.7522888
F2,1,1634.766968
F3,1,-266.5092163
F4,1,-2900.50293
F5,1,-3238.286133
F6,1,-1820.106201
F7,1,-2506.16748
F8,1,-3146.998047
F9,1,-1837.693359
F10,1,-3293.967773
F11,1,
F12,1,-3354.443359
G1,1,-1387.008545
G2,1,-944.3813477
G3,1,-1199.026123
G4,1,-2203.196289
G5,1,-3456.878174
G6,1,-3107.116211
G7,1,-4110.000488
G8,1,-3209.458008
G9,1,-3314.662842
G10,1,-3338.713379
G11,1,
G12,1,
H1,1,-1651.487671
H2,1,-2682.02002
H3,1,-2290.338379
H4,1,-2743.271973
H5,1,-2350.584961
H6,1,-2813.720703
H7,1,-3426.726563
H8,1,-3191.129395
H9,1,-3169.297852
H10,1,-3796.071777
