Well,Sample.Name,Target.Name
A1,std_1,Etri_crRNA_1
A2,std_1,Etri_crRNA_1
A3,std_1,Etri_crRNA_1
A4,std_1,S.con_crRNA_1
A5,std_1,S.con_crRNA_1
A6,std_1,S.con_crRNA_1
A7,std_1,L.ayr_crRNA_1
A8,std_1,L.ayr_crRNA_1
A9,std_1,L.ayr_crRNA_1
A10,std_9,Etri_crRNA_1
A11,NTC,Etri_crRNA_1
A12,NTC,S.con_crRNA_1
B1,std_2,Etri_crRNA_1
B2,std_2,Etri_crRNA_1
B3,std_2,Etri_crRNA_1
B4,std_2,S.con_crRNA_1
B5,std_2,S.con_crRNA_1
B6,std_2,S.con_crRNA_1
B7,std_2,L.ayr_crRNA_1
B8,std_2,L.ayr_crRNA_1
B9,std_2,L.ayr_crRNA_1
B10,std_9,Etri_crRNA_1
B11,NTC,Etri_crRNA_1
B12,NTC,S.con_crRNA_1
C1,std_3,Etri_crRNA_1
C2,std_3,Etri_crRNA_1
C3,std_3,Etri_crRNA_1
C4,std_3,S.con_crRNA_1
C5,std_3,S.con_crRNA_1
C6,std_3,S.con_crRNA_1
C7,std_3,L.ayr_crRNA_1
C8,std_3,L.ayr_crRNA_1
C9,std_3,L.ayr_crRNA_1
C10,std_9,Etri_crRNA_1
C11,NTC,Etri_crRNA_1
C12,NTC,S.con_crRNA_1
D1,std_4,Etri_crRNA_1
D2,std_4,Etri_crRNA_1
D3,std_4,Etri_crRNA_1
D4,std_4,S.con_crRNA_1
D5,std_4,S.con_crRNA_1
D6,std_4,S.con_crRNA_1
D7,std_4,L.ayr_crRNA_1
D8,std_4,L.ayr_crRNA_1
D9,std_4,L.ayr_crRNA_1
D10,std_9,S.con_crRNA_1
D11,,
D12,NTC,L.ayr_crRNA_1
E1,std_5,Etri_crRNA_1
E2,std_5,Etri_crRNA_1
E3,std_5,Etri_crRNA_1
E4,std_5,S.con_crRNA_1
E5,std_5,S.con_crRNA_1
E6,std_5,S.con_crRNA_1
E7,std_5,L.ayr_crRNA_1
E8,std_5,L.ayr_crRNA_1
E9,std_5,L.ayr_crRNA_1
E10,std_9,S.con_crRNA_1
E11,,
E12,NTC,L.ayr_crRNA_1
F1,std_6,Etri_crRNA_1
F2,std_6,Etri_crRNA_1
F3,std_6,Etri_crRNA_1
F4,std_6,S.con_crRNA_1
F5,std_6,S.con_crRNA_1
F6,std_6,S.con_crRNA_1
F7,std_6,L.ayr_crRNA_1
F8,std_6,L.ayr_crRNA_1
F9,std_6,L.ayr_crRNA_1
F10,std_9,S.con_crRNA_1
F11,,
F12,NTC,L.ayr_crRNA_1
G1,std_7,Etri_crRNA_1
G2,std_7,Etri_crRNA_1
G3,std_7,Etri_crRNA_1
G4,std_7,S.con_crRNA_1
G5,std_7,S.con_crRNA_1
G6,std_7,S.con_crRNA_1
G7,std_7,L.ayr_crRNA_1
G8,std_7,L.ayr_crRNA_1
G9,std_7,L.ayr_crRNA_1
G10,std_9,L.ayr_crRNA_1
G11,,
G12,,
H1,std_8,Etri_crRNA_1
H2,std_8,Etri_crRNA_1
H3,std_8,Etri_crRNA_1
H4,std_8,S.con_crRNA_1
H5,std_8,S.con_crRNA_1
H6,std_8,S.con_crRNA_1
H7,std_8,L.ayr_crRNA_1
H8,std_8,L.ayr_crRNA_1
H9,std_8,L.ayr_crRNA_1
H10,std_9,L.ayr_crRNA_1
H11,std_9,L.ayr_crRNA_1
H12,,
