Well,Cycle,Target_Name,Rn,?Rn,
A1,1,OP1,-4.613059521,-0.183263868,
A1,2,OP1,-4.557284832,-0.118112087,
A1,3,OP1,-4.453657627,-0.005107784,
A1,4,OP1,-4.486793518,-0.028866578,
A1,5,OP1,-4.427719116,0.039584924,
A1,6,OP1,-4.448820114,0.027861023,
A1,7,OP1,-4.519529819,-0.033471584,
A1,8,OP1,-4.491966248,0.003469086,
A1,9,OP1,-4.572349072,-0.067536637,
A1,10,OP1,-4.556046963,-0.041857433,
A1,11,OP1,-4.573605061,-0.050038435,
A1,12,OP1,-4.595680714,-0.062736988,
A1,13,OP1,-4.558465958,-0.016145134,
A1,14,OP1,-4.637712955,-0.086015031,
A1,15,OP1,-4.61951685,-0.058441829,
A1,16,OP1,-4.646408558,-0.075956441,
A1,17,OP1,-4.655014992,-0.075185776,
A1,18,OP1,-4.677574635,-0.088368319,
A1,19,OP1,-4.714220047,-0.115636632,
A1,20,OP1,-4.726092815,-0.118132308,
A1,21,OP1,-4.726409435,-0.109071828,
A1,22,OP1,-4.782121181,-0.155406475,
A1,23,OP1,-4.836191177,-0.200099379,
A1,24,OP1,-4.792155266,-0.14668636,
A1,25,OP1,-4.860111237,-0.205265239,
A1,26,OP1,-4.857792377,-0.193569273,
A1,27,OP1,-4.920143604,-0.246543407,
A1,28,OP1,-4.938239098,-0.255261809,
A1,29,OP1,-4.995918751,-0.30356437,
A1,30,OP1,-4.978445053,-0.27671355,
A1,31,OP1,-5.042587757,-0.331479162,
A1,32,OP1,-5.030750751,-0.310265064,
A1,33,OP1,-5.073691845,-0.343829066,
A1,34,OP1,-5.079833031,-0.340593159,
A1,35,OP1,-5.152422428,-0.403805435,
A1,36,OP1,-5.164025784,-0.406031698,
A1,37,OP1,-5.16662693,-0.399255753,
A1,38,OP1,-5.200768471,-0.424020201,
A1,39,OP1,-5.227202892,-0.44107753,
A1,40,OP1,-5.214157104,-0.418654621,
A1,41,OP1,-5.342418671,-0.537539125,
A1,42,OP1,-5.317797661,-0.503540993,
A1,43,OP1,-5.33584404,-0.51221025,
A1,44,OP1,-5.400715351,-0.567704499,
A1,45,OP1,-5.355964184,-0.51357621,
A1,46,OP1,-5.44576025,-0.593995214,
A1,47,OP1,-5.42563343,-0.564491272,
A1,48,OP1,-5.441616058,-0.571096778,
A1,49,OP1,-5.523062229,-0.643165886,
A1,50,OP1,-5.570424557,-0.681151092,
A1,51,OP1,-5.559776306,-0.661125779,
A1,52,OP1,-5.567614079,-0.65958643,
A1,53,OP1,-5.594586849,-0.677182078,
A1,54,OP1,-5.671468735,-0.744686902,
A1,55,OP1,-5.672122955,-0.735964,
A1,56,OP1,-5.699612141,-0.754076123,
A1,57,OP1,-5.722726822,-0.767813683,
A1,58,OP1,-5.695026398,-0.730736136,
A1,59,OP1,-5.789160252,-0.815492928,
A1,60,OP1,-5.773619652,-0.790575206,
A1,61,OP1,-5.810247898,-0.81782639,
A1,62,OP1,-5.832871914,-0.831073284,
A1,63,OP1,-5.849306107,-0.838130355,
A1,64,OP1,-5.89456749,-0.874014676,
A1,65,OP1,-5.937402248,-0.907472313,
A1,66,OP1,-5.937906265,-0.898599267,
A1,67,OP1,-6.058280945,-1.009596825,
A1,68,OP1,-6.062477112,-1.00441587,
A1,69,OP1,-6.023079872,-0.955641568,
A1,70,OP1,-6.06210041,-0.985284984,
A1,71,OP1,-6.102537632,-1.016345143,
A1,72,OP1,-6.083422661,-0.98785305,
A1,73,OP1,-6.129894733,-1.024948001,
A1,74,OP1,-6.111685753,-0.997361958,
A1,75,OP1,-6.134812355,-1.011111498,
A1,76,OP1,-6.167258263,-1.034180284,
A1,77,OP1,-6.233565331,-1.091110229,
A1,78,OP1,-6.308742046,-1.156909823,
A1,79,OP1,-6.278650284,-1.117440939,
A1,80,OP1,-6.30190134,-1.131314993,
A1,81,OP1,-6.296422958,-1.116459489,
A1,82,OP1,-6.337402344,-1.148061752,
