Well,Sample.Name,plate,rep
A1,A13.8,2,1
A2,A14.12,2,1
A3,A17.14,2,1
A4,A110.19,2,1
A5,5P.,2,1
A6,9C42,2,1
A7,NTC,2,1
A8,Rs-S5-1,2,1
A9,Rs-st1,2,1
A10,,,
A11,,,
A12,,,
B1,A13.8,2,2
B2,A15.6,2,1
B3,A17.14,2,2
B4,A110.19,2,2
B5,6LX,2,1
B6,9C42,2,2
B7,NTC,2,2
B8,Rs-S5-1,2,2
B9,Rs-st1,2,2
B10,,,
B11,,,
B12,,,
C1,A13.8,2,3
C2,A15.6,2,2
C3,A18.5,2,1
C4,A110.19,2,3
C5,6LX,2,2
C6,10CX,2,1
C7,NTC,2,3
C8,Rs-S5-1,2,3
C9,Rs-st1,2,3
C10,,,
C11,,,
C12,,,
D1,A13.25,2,1
D2,A15.6,2,3
D3,A18.5,2,2
D4,5LX,2,1
D5,6LX,2,3
D6,10CX,2,2
D7,,,
D8,Rs-S5-2,2,1
D9,Rs-st2,2,1
D10,,,
D11,,,
D12,,,
E1,A13.25,2,2
E2,A16.16,2,1
E3,A18.5,2,3
E4,5LX,2,2
E5,7LX,2,1
E6,10CX,2,3
E7,,,
E8,Rs-S5-2,2,2
E9,Rs-st2,2,2
E10,,,
E11,,,
E12,,,
F1,A13.25,2,3
F2,A16.16,2,2
F3,A19.15,2,1
F4,5LX,2,3
F5,7LX,2,2
F6,10LX,2,1
F7,,,
F8,Rs-S5-2,2,3
F9,Rs-st2,2,3
F10,,,
F11,,,
F12,,,
G1,A14.12,2,2
G2,A16.16,2,3
G3,A19.15,2,2
G4,5P.,2,2
G5,7LX,2,3
G6,10LX,2,2
G7,,,
G8,,,
G9,,,
G10,,,
G11,,,
G12,,,
H1,A14.12,2,3
H2,A17.14,2,3
H3,A19.15,2,3
H4,5P.,2,3
H5,9C42,2,3
H6,10LX,2,3
H7,,,
H8,,,
H9,,,
H10,,,
H11,,,
H12,,,
