Well,Cycle,FAM,ROX
A1,1,-1063.870117,-1432.901611
A2,1,-35.90727234,-136.3729248
A3,1,-983.2153931,-1569.879883
A4,1,-1258.427002,-1619.609009
A5,1,-659.5227661,-1375.774048
A6,1,-1026.213257,-1584.357056
A7,1,-1233.311523,-1296.320557
A8,1,-1200.306641,-1454.319946
A9,1,-1652.719482,-1691.531616
A10,1,-1458.765991,-1377.700439
A11,1,,
A12,1,,
B1,1,137.0727386,-1393.981079
B2,1,-749.4940186,-1172.062744
B3,1,-900.0368042,-1628.785522
B4,1,-1126.86145,-1586.900146
B5,1,-964.8981934,-1290.519287
B6,1,-1008.170898,-1724.727539
B7,1,-1466.797852,-1598.338989
B8,1,-1454.12439,-1783.655762
B9,1,-1444.744141,-1364.351685
B10,1,-1732.432251,-1716.173584
B11,1,,
B12,1,,
C1,1,-781.9938354,-1429.093018
C2,1,-784.8728027,-1405.836304
C3,1,-973.2180786,-1384.817749
C4,1,-1240.369385,-1546.84668
C5,1,-1360.888062,-1596.338013
C6,1,-1186.344849,-1662.512329
C7,1,-1457.955444,-1631.611938
C8,1,-1523.294922,-1692.257935
C9,1,-1736.843628,-1705.089844
C10,1,-1577.279053,-1461.769531
C11,1,,
C12,1,,
D1,1,-889.5195313,-1478.100098
D2,1,-648.1439819,-1160.727295
D3,1,-1269.287354,-1511.042236
D4,1,-1488.680054,-1565.864014
D5,1,-1338.805542,-1622.792603
D6,1,-1257.947632,-1765.615112
D7,1,-1426.601563,-1467.719727
D8,1,-1695.871094,-1641.413574
D9,1,-1771.544678,-1700.893555
D10,1,,
D11,1,,
D12,1,,
E1,1,-1254.252686,-1529.264038
E2,1,-1234.855713,-1549.038452
E3,1,-1332.628662,-1585.892578
E4,1,-1522.807861,-1614.172241
E5,1,-1401.452881,-1575.90918
E6,1,-1464.929321,-1661.577393
E7,1,-1648.612671,-1569.008789
E8,1,-1486.85498,-1311.324829
E9,1,-650.3584595,-452.9940186
E10,1,,
E11,1,,
E12,1,,
F1,1,-1474.650635,-1522.9104
F2,1,-1136.629883,-1294.650391
F3,1,-1236.50293,-1368.500732
F4,1,-1588.635986,-1542.686401
F5,1,-1535.864624,-1483.473022
F6,1,-1550.124146,-1591.860107
F7,1,-1615.576294,-1549.362061
F8,1,-1973.175537,-1750.138184
F9,1,-1558.648682,-1381.642334
F10,1,,
F11,1,,
F12,1,,
G1,1,-1653.755249,-1697.293579
G2,1,-1607.472412,-1727.168091
G3,1,-1641.225098,-1627.595459
G4,1,-1467.43457,-1373.657349
G5,1,-1915.411865,-2145.165527
G6,1,-1751.60022,-1750.217041
G7,1,-1558.481567,-1543.018677
G8,1,-1097.434326,-624.3222656
G9,1,-1690.713379,-1527.98291
G10,1,,
G11,1,,
G12,1,,
H1,1,-697.5385742,-631.6409912
H2,1,-1731.849731,-1643.066284
H3,1,-1447.932739,-1474.274414
H4,1,-1788.10791,-1742.760498
H5,1,-1643.639526,-1587.603882
H6,1,-1618.821411,-1608.393921
H7,1,-1578.498535,-1491.364014
H8,1,-1883.913696,-1641.789917
H9,1,-1591.302856,-1445.390015
H10,1,,
H11,1,,
H12,1,,
A1,2,-810.296936,-1466.664917
A2,2,287.3388977,-186.8844299
A3,2,-365.7979736,-1606.937744
A4,2,-892.3516235,-1650.713135
A5,2,-35.02887344,-1407.560913
A6,2,-451.3267212,-1601.726685
A7,2,-1102.043335,-1330.962769
A8,2,-1029.592773,-1483.199707
A9,2,-1505.21228,-1686.516357
A10,2,-1424.610474,-1343.61377
A11,2,,
A12,2,,
B1,2,1737.502197,-1444.80127
B2,2,-422.7287598,-1222.858276
B3,2,-314.1132507,-1651.411987
B4,2,-714.2349854,-1601.782349
B5,2,-492.2655029,-1301.830078
B6,2,-328.1306763,-1755.664795
B7,2,-1298.518799,-1628.232788
B8,2,-1021.886658,-1745.811523
B9,2,-1491.946533,-1383.182617
B10,2,-1775.911743,-1716.829224
B11,2,,
B12,2,,
C1,2,-389.0207825,-1458.729004
C2,2,-333.0513,-1434.590454
C3,2,-711.4320068,-1409.922485
C4,2,-981.5681152,-1582.661499
C5,2,-1168.831421,-1610.12793
C6,2,-780.6335449,-1708.676147
C7,2,-1292.334595,-1658.591187
C8,2,-1286.478149,-1716.903809
C9,2,-1656.585938,-1714.42041
C10,2,-1612.738525,-1476.661987
C11,2,,
C12,2,,
D1,2,-473.6302795,-1494.791504
D2,2,-315.0945435,-1182.812988
D3,2,-1059.689453,-1544.181641
D4,2,-1434.644409,-1599.40332
D5,2,-1176.869385,-1636.506592
D6,2,-803.6716919,-1748.229248
D7,2,-1382.741577,-1483.03125
D8,2,-1700.825928,-1663.540405
D9,2,-1806.014404,-1710.88562
D10,2,,
D11,2,,
D12,2,,
E1,2,-1090.186279,-1568.742188
E2,2,-1078.714966,-1579.029541
E3,2,-1121.710083,-1589.914307
E4,2,-1418.621704,-1647.992432
E5,2,-1348.777344,-1601.949097
E6,2,-1229.95874,-1645.088135
E7,2,-1701.978271,-1590.912109
E8,2,-1531.087769,-1342.048828
E9,2,-815.3985596,-584.2285767
E10,2,,
E11,2,,
E12,2,,
F1,2,-1460.298462,-1543.829468
F2,2,-1057.330078,-1318.619629
F3,2,-1261.320923,-1394.963379
F4,2,-1587.751831,-1549.078613
F5,2,-1537.632568,-1515.81189
F6,2,-1558.749023,-1618.563599
F7,2,-1666.619873,-1548.873047
F8,2,-2052.554688,-1778.592896
F9,2,-1588.487793,-1395.113892
F10,2,,
F11,2,,
F12,2,,
G1,2,-1670.769409,-1717.957642
G2,2,-1647.956909,-1744.024658
G3,2,-1693.251221,-1656.951904
G4,2,-1519.567627,-1396.566406
G5,2,-1964.508423,-2182.416504
G6,2,-1804.055786,-1772.552246
G7,2,-1611.529297,-1570.482178
G8,2,-1178.494995,-684.2407837
G9,2,-1732.556274,-1532.42749
G10,2,,
G11,2,,
G12,2,,
H1,2,-787.6624146,-649.4456177
H2,2,-1761.658325,-1657.709351
H3,2,-1494.975586,-1495.703857
H4,2,-1831.624023,-1746.261475
H5,2,-1680.680786,-1604.402344
H6,2,-1672.141479,-1630.890503
H7,2,-1613.921265,-1506.236816
H8,2,-1914.97168,-1650.316772
H9,2,-1631.707642,-1460.562988
H10,2,,
H11,2,,
H12,2,,
A1,3,-462.1954651,-1479.476318
A2,3,734.7572632,-242.5991058
A3,3,353.3714905,-1597.842041
A4,3,-420.676178,-1648.94104
A5,3,687.861084,-1434.230835
A6,3,248.2050323,-1621.417969
A7,3,-913.8031616,-1336.865479
A8,3,-770.6672974,-1493.174927
A9,3,-1284.737671,-1702.868652
A10,3,-1450.528076,-1359.4375
A11,3,,
A12,3,,
B1,3,3577.387695,-1469.34729
B2,3,10.17371845,-1247.076172
B3,3,404.3451538,-1654.026611
B4,3,-260.0577698,-1630.750854
B5,3,29.53884315,-1312.975708
B6,3,477.070343,-1758.008423
B7,3,-1051.859009,-1651.828735
B8,3,-552.5530396,-1771.473877
B9,3,-1526.245972,-1401.099121
B10,3,-1784.463867,-1733.716553
B11,3,,
B12,3,,
C1,3,89.80211639,-1475.770752
C2,3,241.802948,-1451.295288
C3,3,-359.1422424,-1413.308228
C4,3,-582.9030151,-1581.057739
C5,3,-886.2249756,-1636.796753
C6,3,-255.0483246,-1714.720703
C7,3,-1062.373657,-1676.9646
C8,3,-998.2942505,-1713.268066
C9,3,-1526.234131,-1715.956787
C10,3,-1628.587646,-1468.149658
C11,3,,
C12,3,,
D1,3,33.26497269,-1504.878906
D2,3,113.1051483,-1187.166382
D3,3,-764.6712646,-1549.099365
D4,3,-1314.449341,-1602.947266
D5,3,-864.7460938,-1612.801147
D6,3,-296.7051086,-1761.993408
D7,3,-1284.674194,-1493.25
D8,3,-1684.846436,-1663.742432
D9,3,-1806.72644,-1708.854004
D10,3,,
D11,3,,
D12,3,,
E1,3,-840.5116577,-1564.443848
E2,3,-846.3579102,-1588.633789
E3,3,-841.6109619,-1596.203369
E4,3,-1270.391357,-1640.45813
E5,3,-1259.20166,-1617.141968
E6,3,-993.9812012,-1647.276001
E7,3,-1724.979004,-1613.742188
E8,3,-1572.193481,-1362.05542
E9,3,-934.0294189,-670.9394531
E10,3,,
E11,3,,
E12,3,,
F1,3,-1413.401367,-1529.025146
F2,3,-927.5631714,-1329.592285
F3,3,-1243.707031,-1400.511597
F4,3,-1560.316772,-1554.253052
F5,3,-1529.06665,-1520.645264
F6,3,-1522.675659,-1630.869873
F7,3,-1686.242554,-1591.154663
F8,3,-2058.721924,-1782.414795
F9,3,-1607.73645,-1407.068359
F10,3,,
F11,3,,
F12,3,,
G1,3,-1686.674561,-1723.452881
G2,3,-1673.950928,-1743.299194
G3,3,-1722.464966,-1665.389404
G4,3,-1530.579224,-1395.963989
G5,3,-1986.126831,-2177.860352
G6,3,-1825.872681,-1778.916748
G7,3,-1642.401611,-1567.0979
G8,3,-1215.30249,-725.8012695
G9,3,-1756.028931,-1549.366577
G10,3,,
G11,3,,
G12,3,,
H1,3,-834.3140869,-671.6568604
H2,3,-1781.113647,-1665.447632
H3,3,-1523.414185,-1490.101074
H4,3,-1845.888672,-1762.862793
H5,3,-1710.16687,-1614.119873
H6,3,-1696.968872,-1648.98584
H7,3,-1651.082031,-1529.837524
H8,3,-1937.470581,-1674.918091
H9,3,-1672.279297,-1474.138672
H10,3,,
H11,3,,
H12,3,,
A1,4,-63.03870392,-1495.390869
A2,4,1247.672607,-270.2443237
